queue,task,arm,training_seed,det_reward,det_cost,det_budget_exceedance,sto_reward,sto_cost,sto_budget_exceedance,det_episodes,sto_episodes
runs_effect_v2,SafetyCarBuildingGoal2-v0,safeot_eps1_uncapped,1,-0.30435722173930385,57.46666666666667,0.6666666666666666,2.4454595059344584,38.8,0.36666666666666664,30,30
runs_effect_v2,SafetyCarBuildingGoal2-v0,trpo_lag,1,2.5902222274589772,26.8,0.36666666666666664,4.4410940345666265,28.566666666666666,0.36666666666666664,30,30
runs_effect_v2,SafetyCarBuildingGoal2-v0,trpo_lag,2,4.338303480020616,45.733333333333334,0.5,6.13758499439364,41.93333333333333,0.43333333333333335,30,30
runs_effect_v2,SafetyPointBuildingButton1-v0,safeot_eps1_cap10,1,-0.9031343909631823,24.133333333333333,0.3,5.091222988690199,28.8,0.36666666666666664,30,30
runs_effect_v2,SafetyPointBuildingButton1-v0,safeot_eps1_cap3,1,0.9882920956687926,41.03333333333333,0.4666666666666667,2.136986897791587,44.9,0.5,30,30
runs_effect_v2,SafetyPointBuildingButton1-v0,safeot_eps1_uncapped,1,3.6172686473413114,61.733333333333334,0.5,1.8670783680215495,15.9,0.23333333333333334,30,30
runs_effect_v2,SafetyPointBuildingButton1-v0,trpo_lag,1,-0.4241673755312144,41.4,0.43333333333333335,5.868704081417658,48.06666666666667,0.5,30,30
runs_effect_v2,SafetyPointBuildingGoal1-v0,safeot_eps1_cap10,1,21.21216994004611,34.06666666666667,0.6,19.549691063617146,26.1,0.5,30,30
runs_effect_v2,SafetyPointBuildingGoal1-v0,safeot_eps1_cap10,2,21.651796292275346,35.06666666666667,0.5333333333333333,18.172528741458294,28.233333333333334,0.5,30,30
runs_effect_v2,SafetyPointBuildingGoal1-v0,safeot_eps1_cap3,1,23.964243366686635,33.166666666666664,0.5,21.474862435015954,26.133333333333333,0.5,30,30
runs_effect_v2,SafetyPointBuildingGoal1-v0,safeot_eps1_cap3,2,14.931691355743228,36.86666666666667,0.5,15.0976868181614,34.233333333333334,0.6,30,30
runs_effect_v2,SafetyPointBuildingGoal1-v0,safeot_eps1_uncapped,1,13.741736735043881,20.7,0.3,14.992792531557907,25.933333333333334,0.4,30,30
runs_effect_v2,SafetyPointBuildingGoal1-v0,safeot_eps1_uncapped,2,23.11972571894414,37.4,0.5333333333333333,21.115789791143392,40.7,0.5333333333333333,30,30
runs_effect_v2,SafetyPointBuildingGoal1-v0,trpo_lag,1,24.717990888951327,41.7,0.6333333333333333,24.88473318213474,39.2,0.6666666666666666,30,30
runs_effect_v2,SafetyPointBuildingGoal1-v0,trpo_lag,2,26.044320603959235,45.93333333333333,0.6666666666666666,24.116422693462948,42.6,0.6333333333333333,30,30
runs_effect_v2,SafetyRacecarBuildingButton1-v0,safeot_eps1_cap10,1,-0.22952971427907135,28.633333333333333,0.2,-0.909331118662455,12.433333333333334,0.16666666666666666,30,30
runs_effect_v2,SafetyRacecarBuildingButton1-v0,safeot_eps1_cap3,1,-3.0248006060500185,118.33333333333333,0.43333333333333335,-1.55679304590845,15.433333333333334,0.2,30,30
runs_effect_v2,SafetyRacecarBuildingButton1-v0,safeot_eps1_uncapped,1,-0.2683587271577595,39.53333333333333,0.23333333333333334,-0.9706650207988292,23.866666666666667,0.26666666666666666,30,30
runs_effect_v2,SafetyRacecarBuildingButton1-v0,trpo_lag,1,0.2867839856495007,117.7,0.5,-0.11433260686592599,72.5,0.4666666666666667,30,30
runs_effect_v3,SafetyCarBuildingGoal2-v0,safeot_m0.3,1,1.2881875486788739,32.96666666666667,0.26666666666666666,1.4898321687199882,15.966666666666667,0.16666666666666666,30,30
runs_effect_v3,SafetyCarBuildingGoal2-v0,safeot_m0.6,1,0.7079128779523843,28.366666666666667,0.3333333333333333,0.900189153187331,12.566666666666666,0.16666666666666666,30,30
runs_effect_v3,SafetyCarBuildingGoal2-v0,safeot_m0,1,1.2865662065023256,36.5,0.3333333333333333,2.534638805653192,53.266666666666666,0.4,30,30
runs_effect_v3,SafetyPointBuildingGoal1-v0,safeot_m0.3,1,10.640371145670066,40.86666666666667,0.5666666666666667,10.586864004700582,30.766666666666666,0.3,30,30
runs_effect_v3,SafetyPointBuildingGoal1-v0,safeot_m0.3,2,12.030229686768518,30.233333333333334,0.5666666666666667,11.726594397833944,20.766666666666666,0.26666666666666666,30,30
runs_effect_v3,SafetyPointBuildingGoal1-v0,safeot_m0.6,1,8.73802156600133,12.7,0.26666666666666666,6.92578554697338,3.5,0.0,30,30
runs_effect_v3,SafetyPointBuildingGoal1-v0,safeot_m0.6,2,6.031610461697545,20.533333333333335,0.3,4.857224889439457,14.766666666666667,0.2,30,30
runs_effect_v3,SafetyPointBuildingGoal1-v0,safeot_m0,1,18.42509370945084,41.43333333333333,0.6333333333333333,17.164099640284146,30.1,0.6,30,30
runs_effect_v3,SafetyPointBuildingGoal1-v0,safeot_m0,2,18.634088987595835,23.9,0.4,17.42147613002376,23.466666666666665,0.3,30,30
runs_effect_v3c,SafetyCarBuildingGoal2-v0,cpo,1,2.894007250079103,51.36666666666667,0.36666666666666664,2.6121148392119964,58.13333333333333,0.26666666666666666,30,30
runs_effect_v3c,SafetyCarBuildingGoal2-v0,cpo,2,2.3227175812091154,34.13333333333333,0.3,1.5278258113733485,29.066666666666666,0.3,30,30
runs_effect_v3c,SafetyCarBuildingGoal2-v0,cpo,3,0.8737600523355916,33.96666666666667,0.26666666666666666,1.1252520726334887,31.433333333333334,0.3333333333333333,30,30
runs_effect_v3c,SafetyPointBuildingButton1-v0,cpo,1,-3.8915962333949863,34.56666666666667,0.43333333333333335,0.14415606538202072,39.166666666666664,0.4,30,30
runs_effect_v3c,SafetyPointBuildingButton1-v0,cpo,2,1.3859194200138014,40.766666666666666,0.36666666666666664,1.1141751990857154,21.333333333333332,0.3333333333333333,30,30
runs_effect_v3c,SafetyPointBuildingButton1-v0,cpo,3,4.1713250165598525,40.56666666666667,0.43333333333333335,2.9396738167281242,19.466666666666665,0.36666666666666664,30,30
runs_effect_v3c,SafetyPointBuildingGoal1-v0,cpo,1,7.0227392033154725,24.066666666666666,0.4,7.109316561395623,19.3,0.3333333333333333,30,30
runs_effect_v3c,SafetyPointBuildingGoal1-v0,cpo,2,9.836098190840675,18.533333333333335,0.23333333333333334,11.944891869514468,29.966666666666665,0.43333333333333335,30,30
runs_effect_v3c,SafetyPointBuildingGoal1-v0,cpo,3,18.424035455409697,32.93333333333333,0.6,16.14304361824337,27.966666666666665,0.4666666666666667,30,30
runs_effect_v3c,SafetyRacecarBuildingButton1-v0,cpo,1,-1.1836407805032412,57.8,0.3,-0.5983939557540544,40.3,0.3333333333333333,30,30
runs_effect_v3c,SafetyRacecarBuildingButton1-v0,cpo,2,-0.333908732119894,18.566666666666666,0.16666666666666666,-0.5916930393019513,30.8,0.3,30,30
runs_effect_v3c,SafetyRacecarBuildingButton1-v0,cpo,3,-0.044101861276030614,49.06666666666667,0.43333333333333335,-0.08856816457906157,23.433333333333334,0.3,30,30
