env,seed,cycle,anchor,kernel,raw_reward,shaped_reward,penalty,joint,success,any_event,cost_mean,event,excess
DiagReachK2,186,18,8,det_old,9.127380494700628,9.124248289244132,0.003132205456495285,0.953125,1.0,0.046875,"[5.424776196479797, 5.849760413169861]","[0.0, 0.046875]","[0.0, 0.000626441091299057]"
DiagReachK2,186,18,8,det_timeKL,9.027464002945273,9.027464002945273,0.0,1.0,1.0,0.0,"[5.445129312574863, 5.35810174793005]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,18,8,det_timeW2,8.974980908764337,8.974980908764337,0.0,1.0,1.0,0.0,"[5.445671945810318, 5.208953112363815]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,18,8,det_cfKL,8.99418203604073,8.99418203604073,0.0,1.0,1.0,0.0,"[5.267912372946739, 5.146998770534992]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,18,8,det_cfW2,8.972011999060124,8.972011999060124,0.0,1.0,1.0,0.0,"[5.273466743528843, 4.895842760801315]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,187,6,11,sample_old,6.405353310290957,3.873572649207199,2.531780661083758,0.125,0.3125,0.515625,"[4.198315482120961, 4.470428924076259]","[0.296875, 0.328125]","[0.09838265677293141, 0.06798275311787921]"
DiagReachK2,187,6,11,sample_timeKL,6.290059383107291,4.626001112708764,1.6640582703985274,0.171875,0.328125,0.375,"[3.817662919871509, 4.249116328079253]","[0.21875, 0.21875]","[0.06383643299341203, 0.05239979922771454]"
DiagReachK2,187,6,11,sample_timeW2,6.391089510491293,4.583082525843929,1.8080069846473634,0.15625,0.3125,0.40625,"[3.909319594502449, 4.3854284272529185]","[0.21875, 0.25]","[0.0673193906744321, 0.057779433826605484]"
DiagReachK2,187,6,11,sample_cfKL,6.155277334620042,4.655818075408025,1.499459259212017,0.140625,0.28125,0.359375,"[3.686013277154416, 4.089726150035858]","[0.21875, 0.203125]","[0.0591762401163578, 0.04596694683035216]"
DiagReachK2,187,6,11,sample_cfW2,6.304737719371042,4.577438064049057,1.7272996553219855,0.171875,0.3125,0.375,"[3.844983564224094, 4.278224756009877]","[0.21875, 0.21875]","[0.06619405001401901, 0.05392947047948837]"
