method,task,variant,margin,seed,mode,ck,ver_blocks,ver_eps,ver_hv,ver_rate,ver_ret,ver_soft,jc,csr25
SafeOT-typed,cg2,v1e75,0.75g,s2,select,900000,4,416,4,0.009615384615384616,21.606700236590903,33.800480769230774,33.82211538461539,0.5240384615384616
SafeOT-typed,cg2,v1e75,0.75g,s3,final,995002,3,312,2,0.00641025641025641,21.322169397154877,30.663461538461537,30.669871794871796,0.5993589743589743
SafeOT-typed,pg2,v1e75,0.75g,s1,final,995002,3,312,10,0.03205128205128205,14.56637935096694,12.705128205128204,12.842948717948717,0.8173076923076922
SafeOT-typed,pg2,v1e75,0.75g,s2,final,995002,3,312,6,0.019230769230769232,17.34784661948032,19.496794871794872,19.567307692307693,0.6987179487179488
SafeOT-typed,cg2,v1e75c05,0.75g/c.05,s1,final,995002,3,312,7,0.022435897435897436,19.53780676720802,2.7211538461538463,2.772435897435898,0.9871794871794872
SafeOT-typed,cg2,v1e75c05,0.75g/c.05,s2,final,995002,3,312,4,0.01282051282051282,18.768853438880612,3.6121794871794872,3.6634615384615383,0.9743589743589745
SafeOT-typed,cg2,v1e75c05,0.75g/c.05,s3,final,995002,3,312,6,0.019230769230769232,19.458240920422664,6.9006410256410255,6.9423076923076925,0.9166666666666666
SafeOT-typed,cg2,v1e75c10,0.75g/c.10,s1,final,995002,3,312,2,0.00641025641025641,18.230544289995347,0.6602564102564102,0.6666666666666666,0.9935897435897436
SafeOT-typed,cg2,v1e75c10,0.75g/c.10,s1,select,995002,2,208,2,0.009615384615384616,18.210309700338662,0.4951923076923077,0.5048076923076923,0.9951923076923077
SafeOT-typed,cg2,v1e75c10,0.75g/c.10,s2,final,995002,3,312,3,0.009615384615384616,18.030610000176523,0.8397435897435898,0.8717948717948718,1.0
SafeOT-typed,cg2,v1e75c10,0.75g/c.10,s3,final,995002,3,312,0,0.0,17.198130089507803,1.0993589743589742,1.0993589743589742,0.9967948717948718
SafeOT-typed,cg2,v1e75c10,0.75g/c.10,s3,select,995002,2,208,0,0.0,17.480259367107408,1.2019230769230769,1.2019230769230769,0.9951923076923077
SafeOT-typed,cg2,v1e7,0.70g,s1,final,995002,3,312,0,0.0,17.459056293628883,25.278846153846157,25.278846153846157,0.6442307692307693
SafeOT-typed,cg2,v1e7,0.70g,s1,select,995002,2,208,0,0.0,17.46825688619846,26.495192307692307,26.495192307692307,0.6394230769230769
SafeOT-typed,cg2,v1e7,0.70g,s2,final,995002,3,312,1,0.003205128205128205,16.49688012296031,20.935897435897434,20.939102564102566,0.6698717948717948
SafeOT-typed,cg2,v1e7,0.70g,s3,final,995002,3,312,2,0.00641025641025641,13.528662442004935,13.657051282051283,13.666666666666666,0.798076923076923
SafeOT-typed,pg2,v1e7,0.70g,s1,final,995002,3,312,5,0.016025641025641024,12.321086051191685,7.198717948717949,7.323717948717949,0.9102564102564102
SafeOT-typed,pg2,v1e7,0.70g,s1,select,300000,4,416,14,0.03365384615384615,7.555119385873827,4.096153846153846,4.283653846153846,0.9495192307692307
SafeOT-typed,pg2,v1e7,0.70g,s2,final,995002,3,312,10,0.03205128205128205,9.060037101616368,2.423076923076923,2.6506410256410255,0.9711538461538461
SafeOT-typed,pg2,v1e7,0.70g,s2,select,400000,4,416,9,0.021634615384615384,7.721818085065588,1.0817307692307692,1.2283653846153846,0.9831730769230769
SafeOT-typed,pg2,v1e7,0.70g,s3,final,995002,3,312,11,0.035256410256410256,11.582978192559347,8.298076923076923,8.461538461538462,0.8621794871794872
SafeOT-typed,cg2,v1e7c10,0.70g/c.10,s1,final,995002,3,312,2,0.00641025641025641,13.54939162767612,0.7788461538461539,0.798076923076923,0.9967948717948718
SafeOT-typed,cg2,v1e7c10,0.70g/c.10,s1,select,995002,2,208,2,0.009615384615384616,13.43751707504995,1.0144230769230769,1.0432692307692308,0.9951923076923077
SafeOT-typed,cg2,v1e7c10,0.70g/c.10,s2,final,995002,3,312,1,0.003205128205128205,13.65537539092881,1.3397435897435896,1.3493589743589745,0.9935897435897436
SafeOT-typed,cg2,v1e8,0.80g,s1,final,995002,3,312,19,0.060897435897435896,24.770965339484594,35.27564102564103,35.37179487179487,0.4551282051282051
SafeOT-typed,cg2,v1e8,0.80g,s2,final,995002,3,312,17,0.05448717948717949,25.797592311777034,32.71474358974359,32.79807692307693,0.4583333333333333
SafeOT-typed,cg2,v1e8,0.80g,s2,select,800000,4,416,9,0.021634615384615384,24.038026992158866,35.93028846153846,35.97115384615385,0.5264423076923077
SafeOT-typed,cg2,v1e8,0.80g,s3,final,995002,3,312,9,0.028846153846153848,24.2005984207246,30.009615384615387,30.041666666666668,0.532051282051282
SafeOT-typed,pg2,v1e8,0.80g,s1,final,995002,3,312,3,0.009615384615384616,17.255138245839966,19.39423076923077,19.413461538461537,0.7243589743589745
SafeOT-typed,pg2,v1e8,0.80g,s2,final,995002,3,312,4,0.01282051282051282,16.650337390162452,18.192307692307693,18.227564102564102,0.7435897435897436
SafeOT-typed,pg2,v1e8,0.80g,s2,select,995002,2,208,4,0.019230769230769232,16.62548539416094,17.8125,17.865384615384613,0.7548076923076923
SafeOT-typed,pg2,v1e8,0.80g,s3,final,995002,3,312,3,0.009615384615384616,18.870551460886116,24.349358974358974,24.365384615384613,0.608974358974359
SafeOT-typed,cg2,v1e8c10,0.80g/c.10,s1,final,995002,3,312,15,0.04807692307692308,20.050764096463723,0.8525641025641025,0.939102564102564,0.9903846153846154
SafeOT-typed,cg2,v1e8c10,0.80g/c.10,s2,final,995002,3,312,16,0.05128205128205128,21.6451133115645,0.7307692307692307,0.9423076923076924,0.9967948717948718
SafeOT-typed,pg2,v1e8c10,0.80g/c.10,s1,final,995002,3,312,7,0.022435897435897436,12.929069312171046,0.7275641025641025,0.7852564102564102,0.9967948717948718
SafeOT-typed,pg2,v1e8c10,0.80g/c.10,s2,final,995002,3,312,8,0.02564102564102564,12.94752867673091,0.9423076923076922,1.0064102564102564,0.9903846153846154
SafeOT-typed,pg2,v1e9,0.90g,s1,final,995002,3,312,17,0.05448717948717949,21.24579219883906,23.352564102564102,23.458333333333332,0.5897435897435898
SafeOT-typed,pg2,v1e9,0.90g,s2,final,995002,3,312,20,0.0641025641025641,20.39162897659242,22.07051282051282,22.24358974358974,0.6346153846153846
FDPI,pg2,fdpi,n/a,s1,final,final,3,312,10,0.03205128205128205,10.314754092794812,0.21153846153846156,0.3461538461538462,1.0
FDPI,pg2,fdpi,n/a,s2,final,final,3,312,11,0.035256410256410256,10.406817528520671,0.0705128205128205,0.16346153846153846,1.0
FDPI,pg2,fdpi,n/a,s3,final,final,3,312,12,0.038461538461538464,8.564500693514328,0.1794871794871795,0.25961538461538464,1.0
FDPI,cg2,fdpi,n/a,s1,final,final,3,312,16,0.05128205128205128,13.20692402891418,0.15705128205128205,0.4423076923076923,1.0
FDPI,cg2,fdpi,n/a,s2,final,final,3,312,29,0.09294871794871795,12.011406887604188,0.17307692307692304,0.8301282051282052,0.9871794871794872
FDPI,cg2,fdpi,n/a,s3,final,final,3,312,17,0.05448717948717949,11.705906025458296,0.07692307692307693,0.3333333333333333,1.0
FDPI,pb2,fdpi,n/a,s1,final,final,3,312,9,0.028846153846153848,0.3861755520302928,0.08012820512820512,0.5032051282051282,0.9967948717948718
FDPI,pb2,fdpi,n/a,s2,final,final,3,312,2,0.00641025641025641,-0.13538743820512758,0.0,0.025641025641025644,1.0
FDPI,pb2,fdpi,n/a,s3,final,final,3,312,44,0.14102564102564102,1.9929565017668136,0.5,1.9839743589743588,0.9903846153846154
SDAC,pg2,sdac,n/a,s2,final,final,3,312,30,0.09615384615384616,2.1269789102023493,22.76602564102564,nan,nan
SDAC,pg2,sdac,n/a,s3,final,final,3,312,53,0.16987179487179488,1.7099970848624195,17.98076923076923,nan,nan
SDAC,pg2,sdac,n/a,s1,final,final,3,312,45,0.14423076923076922,1.3220790914814102,26.666666666666668,nan,nan
SDAC,cg2,sdac,n/a,s1,final,final,3,312,96,0.3076923076923077,6.851121544998673,14.791666666666666,nan,nan
SDAC,cg2,sdac,n/a,s2,final,final,3,312,166,0.532051282051282,9.532544462098116,19.810897435897434,nan,nan
SDAC,cg2,sdac,n/a,s3,final,final,3,312,134,0.42948717948717946,7.299488702453424,12.560897435897436,nan,nan
SDAC,pb2,sdac,n/a,s1,final,final,3,312,68,0.21794871794871795,0.007662980160366316,25.865384615384613,nan,nan
SDAC,pb2,sdac,n/a,s2,final,final,3,312,68,0.21794871794871795,-0.21215817073170443,5.698717948717949,nan,nan
SDAC,pb2,sdac,n/a,s3,final,final,3,312,68,0.21794871794871795,-0.01811076544424278,11.46474358974359,nan,nan
SRCPO,pg2,srcpo,n/a,s3,final,final,3,312,115,0.3685897435897436,5.052197781665041,29.336538461538463,nan,nan
SRCPO,pg2,srcpo,n/a,s2,final,final,3,312,109,0.34935897435897434,5.895059642141116,17.98397435897436,nan,nan
SRCPO,pg2,srcpo,n/a,s1,final,final,3,312,91,0.2916666666666667,4.6219503059887925,35.74038461538461,nan,nan
SRCPO,cg2,srcpo,n/a,s1,final,final,3,312,180,0.5769230769230769,9.568442945082724,17.05448717948718,nan,nan
SRCPO,cg2,srcpo,n/a,s2,final,final,3,312,151,0.483974358974359,7.485934197823037,27.55769230769231,nan,nan
SRCPO,cg2,srcpo,n/a,s3,final,final,3,312,173,0.5544871794871795,8.86063291488572,16.10897435897436,nan,nan
SRCPO,pb2,srcpo,n/a,s1,final,final,3,312,127,0.40705128205128205,0.3085043925792033,30.58974358974359,nan,nan
SRCPO,pb2,srcpo,n/a,s2,final,final,3,312,132,0.4230769230769231,0.08909067915552232,36.01282051282051,nan,nan
SRCPO,pb2,srcpo,n/a,s3,final,final,3,312,118,0.3782051282051282,0.7966878780320176,25.333333333333332,nan,nan
FDPI,cg2,fdpi002,pf.02,s3,final,995001,3,312,4,0.01282051282051282,2.8807945170497047,0.012820512820512822,0.04487179487179488,1.0
FDPI,pg2,fdpi002,pf.02,s3,final,995001,3,312,3,0.009615384615384616,2.9029681219530414,0.08012820512820513,0.13141025641025642,1.0
FDPI,cg2,fdpi05,pf.50,s3,final,995001,3,312,38,0.12179487179487179,21.41286568341629,0.3076923076923077,0.75,0.9967948717948718
FDPI,pg2,fdpi05,pf.50,s3,final,995001,3,312,21,0.0673076923076923,16.3370323711154,1.0769230769230769,1.2467948717948718,0.9967948717948718
FDPI,cp2,fdpi,n/a,s1,final,995001,3,312,9,0.028846153846153848,14.73066918857384,1.185897435897436,3.1153846153846154,0.9871794871794872
FDPI,cp2,fdpi,n/a,s2,final,995001,3,312,11,0.035256410256410256,14.430589865169935,2.0993589743589745,2.2211538461538463,0.9967948717948718
FDPI,cp2,fdpi,n/a,s3,final,995001,3,312,19,0.060897435897435896,14.053103022411506,3.4807692307692304,4.064102564102565,0.9871794871794872
