anchor,env,seed,cycle,candidate,channel,quantity,value,conditional_ci95_low,conditional_ci95_high
6,DiagReachK2,186,6,shapedKL,shaped,Ghold_timeLOO,0.21685579117552467,-0.06017242220038826,0.55810005176452
6,DiagReachK2,186,6,shapedKL,raw,optimism_sample,0.23905072941841238,0.20142255477095092,0.2775761059803709
6,DiagReachK2,186,6,shapedKL,raw,optimism_det,0.31773157385944495,0.3071781530150918,0.3281171335174294
6,DiagReachK2,186,6,shapedKL,raw,Gsample,-0.04162903189048834,-0.08015440845244692,-0.004000857243026871
6,DiagReachK2,186,6,shapedKL,raw,Gdet,-0.12030987633152093,-0.13069543598950537,-0.10975645548716774
6,DiagReachK2,186,6,shapedKL,raw,Ghold_timeLOO,-0.028833512295087863,-0.13477658697489522,0.07547104564588566
6,DiagReachK2,186,6,shapedKL,penalty,optimism_sample,-0.1158870596127255,-0.22075797141675335,0.005168608607198379
6,DiagReachK2,186,6,shapedKL,penalty,optimism_det,-0.31063032594189477,-0.31063032594189477,-0.31063032594189477
6,DiagReachK2,186,6,shapedKL,penalty,Gsample,-0.19474326632916927,-0.31579893454909325,-0.08987235452514143
6,DiagReachK2,186,6,shapedKL,penalty,Gdet,0.0,0.0,0.0
6,DiagReachK2,186,6,shapedKL,penalty,Ghold_timeLOO,-0.24568930189937288,-0.5497210953950554,-0.016975548584169952
6,DiagReachK2,186,6,shapedKL,cost_0,optimism_sample,0.12373331929234449,0.09609313562655483,0.15573897766558112
6,DiagReachK2,186,6,shapedKL,cost_0,optimism_det,-0.04726187051596459,-0.04867967856439169,-0.04573058584096249
6,DiagReachK2,186,6,shapedKL,cost_0,Gsample,0.07993125263601542,0.04792559426277876,0.10757143630180507
6,DiagReachK2,186,6,shapedKL,cost_0,Gdet,0.2509264424443245,0.2493951577693224,0.2523442504927516
6,DiagReachK2,186,6,shapedKL,cost_0,Ghold_timeLOO,0.056744832877054854,-0.12473175257965971,0.23035134338254112
6,DiagReachK2,186,6,shapedKL,cost_1,optimism_sample,0.12667800001285362,0.0867174326623543,0.16647289841852472
6,DiagReachK2,186,6,shapedKL,cost_1,optimism_det,0.3525060124643831,0.3506631365925758,0.3544085523993461
6,DiagReachK2,186,6,shapedKL,cost_1,Gsample,-0.34158781729638577,-0.3813827157020569,-0.3016272499458864
6,DiagReachK2,186,6,shapedKL,cost_1,Gdet,-0.5674158297479153,-0.5693183696828783,-0.565572953876108
6,DiagReachK2,186,6,shapedKL,cost_1,Ghold_timeLOO,-0.5130091309361039,-0.6802340397236801,-0.327171765208717
6,DiagReachK2,186,6,shapedW2,shaped,optimism_sample,0.3969458153738863,0.24480502988246122,0.5476007729444365
6,DiagReachK2,186,6,shapedW2,shaped,optimism_det,0.7377582528332489,0.7259082095073409,0.7495885237305706
6,DiagReachK2,186,6,shapedW2,shaped,Gsample,0.15968859797490076,0.009033640404350417,0.3118293834663257
6,DiagReachK2,186,6,shapedW2,shaped,Gdet,-0.18112383948446184,-0.19295411038178356,-0.16927379615855392
6,DiagReachK2,186,6,shapedW2,shaped,Ghold_timeLOO,0.2704065190858993,-0.08003073916198764,0.7126903379071806
6,DiagReachK2,186,6,shapedW2,raw,optimism_sample,0.3064024096269841,0.25922899243755093,0.35261200272270476
6,DiagReachK2,186,6,shapedW2,raw,optimism_det,0.41459540410933543,0.4027453607834275,0.4264256750066572
6,DiagReachK2,186,6,shapedW2,raw,Gsample,-0.07293084500211051,-0.11914043809783118,-0.025757427812677345
6,DiagReachK2,186,6,shapedW2,raw,Gdet,-0.18112383948446184,-0.19295411038178356,-0.16927379615855392
