job,env,seed,metric,estimator,cycle,selected_source,accepted,effective_update,middle_solver_accepted,middle_distance_active,recovery,reward_gain,reward_advantage_std,reward_advantage_mean,Jhat,predicted_cost,cost_advantage_std,baseline_seconds,solver_seconds,raw_KL,raw_W2
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,11,old,True,False,True,True,False,1.1046806347597697,2.0413707832330497,-0.04897395964611061,"[4.924921989440918, 3.809006452560425]","[4.4392412475601875, 4.17284634804494]","[2.0369191730379015, 1.5594125965198686]",0.004098101519048214,0.427868127822876,0.010000001071792195,0.019698486615677763
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,12,old,True,False,True,True,False,4.084749033958694,5.079355039110629,-0.3955120592935583,"[5.503067970275879, 5.249775409698486]","[4.810313094578887, 5.003272876450003]","[1.84845054750015, 1.5413252734472929]",0.004574703052639961,0.48203158378601074,0.009999999292003087,0.02592967958158749
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,13,old,True,False,True,True,False,0.9006354503368147,1.7608774881909313,-0.10663801635982269,"[4.570823669433594, 4.196897029876709]","[4.642593060359362, 4.581137034681259]","[1.856644544988758, 1.9237487755506435]",0.004166235215961933,0.39421629905700684,0.009999998902579015,0.02580107535109163
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,14,full_PPO,True,True,True,True,False,3.5203717283494926,3.0682686864047564,0.217379292163858,"[4.495360374450684, 4.75569486618042]","[4.354513455056857, 5.277871888099247]","[1.3641248581347807, 2.024072703897807]",0.004226597957313061,0.449648380279541,0.009999999245905365,0.022373552352746337
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,15,joint_KL,True,True,True,True,False,0.9932417271614622,1.1491307970220292,-0.004540090947511046,"[4.329955101013184, 3.3599674701690674]","[4.299971862653558, 3.8173341492204833]","[1.9801721608444378, 1.4779125113176839]",0.004487352445721626,0.44835972785949707,0.010000002343661444,0.02058822263487108
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,16,old,True,False,True,True,False,1.377862928607477,3.115972068368577,-0.15723909589497204,"[4.982152462005615, 5.142748832702637]","[4.514177147565716, 4.771140320656217]","[1.43216992736664, 1.6350508066216523]",0.004220330156385899,0.4298524856567383,0.009999999385356046,0.01579149392460155
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,17,old,True,False,True,True,False,0.5464208562743315,1.215904818475993,-0.029822492318564302,"[4.340904235839844, 5.176474571228027]","[4.606497898636229, 4.420478492257054]","[0.8803245018949556, 1.5117753550765884]",0.004183878190815449,0.40471744537353516,0.009999999004604984,0.01834903702218094
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,18,old,True,False,True,True,False,0.6801876125436909,1.4981734806502747,-0.042484948045707724,"[4.602994918823242, 4.3260087966918945]","[4.476417293775434, 4.385540879152121]","[1.386981686263378, 1.739465325706807]",0.0043997252359986305,0.3786022663116455,0.010000002223133504,0.014001045440872452
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,19,old,True,False,True,True,False,2.415762446528368,2.5071857624430054,-0.059954463316582114,"[5.247393608093262, 4.413848876953125]","[5.027580579650101, 4.656140489624811]","[1.7505908707263929, 1.4483244320142672]",0.004278725013136864,0.4226949214935303,0.010000000795245321,0.017201323481572314
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,20,old,True,False,True,True,False,3.6795353955526524,4.586123480356932,-0.24440830343486417,"[5.038938522338867, 5.646049499511719]","[4.631207774080661, 4.562360116502122]","[1.8236629349536662, 1.6176651667085704]",0.004242312163114548,0.6042544841766357,0.010000003299693975,0.02068250823011548
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,21,old,True,False,True,True,False,1.6516570366401004,3.071891848252052,-0.17700873253351163,"[5.338461875915527, 4.0734477043151855]","[4.99621729729128, 3.8249572427713527]","[1.619285319813779, 1.5043096531877047]",0.004364589229226112,0.5293014049530029,0.010000000107612202,0.01864416907233392
development_DiagReachK2_s187_KL_cf_state,DiagReachK2,187,KL,cf_state,22,joint_KL,True,True,True,True,False,0.9678315266494171,1.9789199819472534,-0.04657460327084779,"[5.314410209655762, 4.040997505187988]","[4.670143818574103, 4.7470394933569775]","[2.0093655150440184, 1.265348575954418]",0.0043923938646912575,0.3996765613555908,0.010000000281595504,0.01831212460710665
