env,seed,anchor,target,metric,channel,old_sample_risk,old_det_risk,predicted_sample_risk,measured_sample_risk,measured_det_risk,predicted_delta,sample_delta,det_delta,proxy_minus_sample,sample_minus_det,proxy_minus_det,outside_probability_range
DiagReachK3,180,16,raw,KL,2,0.09375,0.0,0.11994361484734083,0.125,0.0,0.026193614847340823,0.03125,0.0,-0.005056385152659177,0.03125,0.026193614847340823,False
DiagReachK3,180,16,raw,KL,any,0.296875,0.03125,0.36398382808939767,0.359375,0.96875,0.06710882808939764,0.0625,0.9375,0.0046088280893976374,-0.875,-0.8703911719106023,False
DiagReachK3,180,16,raw,W2,0,0.203125,0.03125,0.25236249774827724,0.21875,0.96875,0.04923749774827721,0.015625,0.9375,0.03361249774827721,-0.921875,-0.8882625022517228,False
DiagReachK3,180,16,raw,W2,1,0.125,0.0,0.1622424582251406,0.171875,0.0,0.03724245822514059,0.046875,0.0,-0.009632541774859407,0.046875,0.03724245822514059,False
DiagReachK3,180,16,raw,W2,2,0.09375,0.0,0.11780081468007098,0.125,0.0,0.02405081468007098,0.03125,0.0,-0.007199185319929021,0.03125,0.02405081468007098,False
DiagReachK3,180,16,raw,W2,any,0.296875,0.03125,0.3689582582760751,0.359375,0.96875,0.07208325827607508,0.0625,0.9375,0.009583258276075077,-0.875,-0.8654167417239249,False
DiagReachK3,180,18,shaped,KL,0,0.203125,0.0,0.17947561305856563,0.140625,0.0,-0.02364938694143436,-0.0625,0.0,0.038850613058565645,-0.0625,-0.02364938694143436,False
DiagReachK3,180,18,shaped,KL,1,0.265625,0.0,0.2186157667152632,0.234375,0.0,-0.04700923328473681,-0.03125,0.0,-0.015759233284736808,-0.03125,-0.04700923328473681,False
DiagReachK3,180,18,shaped,KL,2,0.109375,0.0,0.039888793030440337,0.0625,0.0,-0.06948620696955966,-0.046875,0.0,-0.022611206969559663,-0.046875,-0.06948620696955966,False
DiagReachK3,180,18,shaped,KL,any,0.453125,0.0,0.3974575123450163,0.359375,0.0,-0.055667487654983715,-0.09375,0.0,0.038082512345016285,-0.09375,-0.055667487654983715,False
DiagReachK3,180,18,shaped,W2,0,0.203125,0.0,0.17446067524709236,0.140625,0.0,-0.028664324752907637,-0.0625,0.0,0.03383567524709236,-0.0625,-0.028664324752907637,False
DiagReachK3,180,18,shaped,W2,1,0.265625,0.0,0.23005375487846447,0.234375,0.0,-0.03557124512153555,-0.03125,0.0,-0.004321245121535547,-0.03125,-0.03557124512153555,False
DiagReachK3,180,18,shaped,W2,2,0.109375,0.0,0.04522845769419337,0.0625,0.0,-0.06414654230580663,-0.046875,0.0,-0.01727154230580663,-0.046875,-0.06414654230580663,False
DiagReachK3,180,18,shaped,W2,any,0.453125,0.0,0.4028918837103988,0.359375,0.0,-0.05023311628960121,-0.09375,0.0,0.04351688371039879,-0.09375,-0.05023311628960121,False
DiagReachK3,180,18,raw,KL,0,0.203125,0.0,0.2502145485064999,0.265625,0.0,0.047089548506499865,0.0625,0.0,-0.015410451493500135,0.0625,0.047089548506499865,False
