env,seed,cycle,anchor,kernel,channel,budget,mean_cost,cost_over_budget,q50,q90,q95,q99,event,positive_excess,any_event,success,joint,raw_reward,shaped_reward,penalty,mean_feasible_with_events
DiagReachK3,187,0,25,det_old,1,6.5,4.535556793212891,0.6977779681865985,4.544692516326904,4.721195697784424,4.763188362121582,4.8476948738098145,0.0,0.0,0.0,1.0,1.0,8.624307632446289,8.624307632446289,0.0,False
DiagReachK3,187,0,25,det_old,2,12.5,9.121221542358398,0.7296977233886719,9.094304084777832,9.446850776672363,9.537921905517578,9.659749031066895,0.0,0.0,0.0,1.0,1.0,8.624307632446289,8.624307632446289,0.0,False
DiagReachK3,187,0,25,det_KL,0,7.0,5.962385177612305,0.8517693110874721,5.962485313415527,6.170073509216309,6.235511302947998,6.351681232452393,0.0,0.0,0.0,1.0,1.0,8.297124862670898,8.297124862670898,0.0,False
DiagReachK3,187,0,25,det_KL,1,6.5,3.7336790561676025,0.5744121624873235,3.738377094268799,3.8813138008117676,3.9007909297943115,3.968712329864502,0.0,0.0,0.0,1.0,1.0,8.297124862670898,8.297124862670898,0.0,False
DiagReachK3,187,0,25,det_KL,2,12.5,8.722074508666992,0.6977659606933594,8.707475662231445,8.977041244506836,9.018600463867188,9.146687507629395,0.0,0.0,0.0,1.0,1.0,8.297124862670898,8.297124862670898,0.0,False
DiagReachK3,187,0,25,det_W2,0,7.0,5.9857659339904785,0.855109419141497,5.988764762878418,6.196915149688721,6.262617588043213,6.377940654754639,0.0,0.0,0.0,1.0,1.0,8.279406547546387,8.279406547546387,0.0,False
DiagReachK3,187,0,25,det_W2,1,6.5,3.7350475788116455,0.5746227044325608,3.740037441253662,3.882072687149048,3.902634859085083,3.969695806503296,0.0,0.0,0.0,1.0,1.0,8.279406547546387,8.279406547546387,0.0,False
DiagReachK3,187,0,25,det_W2,2,12.5,8.747068405151367,0.6997654724121094,8.73338508605957,9.004971504211426,9.045388221740723,9.177974700927734,0.0,0.0,0.0,1.0,1.0,8.279406547546387,8.279406547546387,0.0,False
DiagReachK3,187,6,26,sample_old,0,7.0,4.935375690460205,0.7050536700657436,4.823526382446289,8.120915412902832,9.97725772857666,10.904467582702637,0.2421875,0.05335773740495955,0.421875,0.390625,0.1953125,6.852715969085693,5.268702507019043,1.5840132236480713,True
DiagReachK3,187,6,26,sample_old,1,6.5,4.71117639541626,0.7247963685255784,4.461325645446777,7.729816436767578,8.61502456665039,9.048839569091797,0.2421875,0.04735148640779348,0.421875,0.390625,0.1953125,6.852715969085693,5.268702507019043,1.5840132236480713,True
DiagReachK3,187,6,26,sample_old,2,12.5,8.323640823364258,0.6658912658691406,8.206883430480957,13.059046745300293,13.636231422424316,14.944960594177246,0.15625,0.015847644209861754,0.421875,0.390625,0.1953125,6.852715969085693,5.268702507019043,1.5840132236480713,True
DiagReachK3,187,6,26,sample_KL,0,7.0,4.735957145690918,0.676565306527274,4.5819196701049805,7.8717570304870605,9.67641830444336,10.835042953491211,0.21875,0.04583312038864408,0.328125,0.3203125,0.2109375,6.593654632568359,5.666292190551758,0.9273622035980225,True
DiagReachK3,187,6,26,sample_KL,1,6.5,4.053974151611328,0.6236883310171274,3.9016613960266113,6.82396936416626,7.549275875091553,8.107125282287598,0.1484375,0.018282189965248108,0.328125,0.3203125,0.2109375,6.593654632568359,5.666292190551758,0.9273622035980225,True
DiagReachK3,187,6,26,sample_KL,2,12.5,7.473228454589844,0.5978582763671875,7.295810222625732,11.974531173706055,12.533368110656738,13.586978912353516,0.0546875,0.0059219259023666395,0.328125,0.3203125,0.2109375,6.593654632568359,5.666292190551758,0.9273622035980225,True
DiagReachK3,187,6,26,sample_W2,0,7.0,4.846424102783203,0.6923463003976005,4.724267959594727,7.986460208892822,9.88340950012207,10.93335247039795,0.2421875,0.049651367855923514,0.3828125,0.3359375,0.1875,6.7258195877075195,5.662259578704834,1.0635595321655273,True
DiagReachK3,187,6,26,sample_W2,1,6.5,4.244053363800049,0.652931286738469,4.059965133666992,6.975063800811768,7.699458122253418,8.3318452835083,0.1875,0.02294563960570556,0.3828125,0.3359375,0.1875,6.7258195877075195,5.662259578704834,1.0635595321655273,True
