env,metric,seed,channel,Gtrain,GholdLR,GholdLR_lo,GholdLR_hi,Gsample,Gsample_lo,Gsample_hi,Gdet,Gdet_lo,Gdet_hi,T,T_lo,T_hi,L,L_lo,L_hi,K,K_lo,K_hi,mean_only,mean_only_lo,mean_only_hi,std_only,std_only_lo,std_only_hi,interaction,interaction_lo,interaction_hi,median_abs_T,signed_sum_T,absolute_sum_T,median_abs_L,signed_sum_L,absolute_sum_L,median_abs_K,signed_sum_K,absolute_sum_K,train_positive_GholdLR_nonpositive,train_positive_Gsample_nonpositive,train_positive_Gdet_nonpositive
DiagReachK2,W2,187,cost_0,-0.9559184800977037,-0.479267454069756,-0.5781796779536322,-0.3745575630174042,-0.330402940325439,-0.35706746499985453,-0.30566028106026355,-0.5767771363258362,-0.5807790955901146,-0.5734038759768009,-0.4766510260279476,-0.5813609170802995,-0.3777388021440716,-0.14886451374431706,-0.24505827857553752,-0.051049990320747855,0.2463741958141327,0.2192089445888996,0.2713460570573807,-0.3295553943142295,-0.3570501289749518,-0.30556054647080605,0.0015678463969379663,-0.0031736984709277746,0.006080251788953314,-0.0024153866339474916,-0.004782997409347445,-0.0002857661608140931,0.41941192883185674,-2.383255130139738,2.383255130139738,0.11648876349226289,-0.7443225687215853,0.7443225687215853,0.29227161407470703,1.2318709790706635,1.8567599952220917,0,0,0
DiagReachK2,W2,187,cost_1,-0.3040798153068702,-0.1184319861543639,-0.1826509431294764,-0.04779201376237179,-0.0854637200012803,-0.09797060897573828,-0.07287977216765287,-0.17269549816846846,-0.17434831727296116,-0.17096504360437392,-0.1856478291525063,-0.2562878015444985,-0.12142887217739383,-0.032968266153083584,-0.10264800563108599,0.039347405334786915,0.08723177760839462,0.07456296268850565,0.10032744087278843,-0.08282534554600715,-0.09394754335749894,-0.07004285475471989,-0.0021985042840242386,-0.00680768153979443,0.0023727381613571174,-0.0004398676101118326,-0.0013380214502103627,0.000496284798718988,0.2613223143270217,-0.9282391457625315,1.3353571506972894,0.038692912452056805,-0.16484133076541793,0.3141103541035522,0.11060326546430588,0.4361588880419731,0.5932582244277,1,1,1
DiagReachK3,KL,180,shaped,1.701162760208231,0.6394804602313531,0.4781345108178701,0.7923908716977939,0.5143074691295624,0.4427653731405735,0.579885456264019,0.40322784930467603,0.3995743160322308,0.40676529407501216,1.0616822999768778,0.9087718885104373,1.2230282493903613,0.12517299110179075,0.007311122293956007,0.24428230459341418,0.11107962131500244,0.03985390469431877,0.1784032782912254,0.47377681732177734,0.4096004243940115,0.5327613067626953,0.042930116131901744,0.03261561559513211,0.05284617039375007,-0.002399518433958292,-0.00538505531847477,0.000674218768253922,1.1128582942178002,5.308411499884389,5.328126529027216,0.1494993342525105,0.6258649555089537,0.969842860156999,0.5775375366210938,0.5553981065750122,3.518732190132141,0,0,4
DiagReachK3,KL,180,raw,0.34592493561739535,0.15572576919797143,0.1192527964043083,0.18703347988507096,0.1874542571604252,0.16913913508877157,0.20589642912149428,0.40322784930467603,0.3995743160322308,0.40676529407501216,0.19019916641942397,0.15889145573232438,0.22667213921308704,-0.03172848796245376,-0.07273639993505657,0.0042088681690649905,-0.21577360332012177,-0.23430239126086233,-0.19641754956915977,0.1765398930758238,0.15943095731548965,0.19363390641286968,0.012715570256114006,0.009011675526853651,0.017316028329078102,-0.0018012684769928456,-0.0032467450737021864,-0.0005848596990108499,0.2597105187254535,0.9509958320971198,1.3909206115829686,0.038726719688828196,-0.1586424398122688,0.3032099304847474,0.11486184597015381,-1.0788680166006088,1.7563566118478775,1,1,3
DiagReachK3,KL,180,penalty,-1.3552377958756359,-0.48375469111641384,-0.6337956306616171,-0.319994009770924,-0.3268532559275627,-0.3935482521727681,-0.2569196510873736,0.0,0.0,0.0,-0.8714831047592222,-1.035243786104712,-0.7214421652140188,-0.15690143518885108,-0.26789961630827597,-0.04091666045749149,-0.3268532559275627,-0.3935482521727681,-0.2569196510873736,-0.2972369581460953,-0.3599155261367559,-0.23468099478632215,-0.030214532837271692,-0.03994657534174621,-0.021099118050187826,0.0005982318893074989,-0.0025559556554071603,0.0034995504375547153,0.7801528173762429,-4.357415523796111,5.149833912707634,0.11594221960591533,-0.7845071759442555,0.8542259432810424,0.38952067494392395,-1.6342662796378136,1.7623756304383278,0,0,1
DiagReachK3,KL,180,cost_0,-0.5389390115209723,-0.10752545278390332,-0.16831626101813404,-0.043726215244750295,-0.0748080164194107,-0.09588683247566224,-0.052958324812352665,-0.19865758419036866,-0.20360511742532253,-0.1933661226928234,-0.431413558737069,-0.49521279627622217,-0.3706227505028383,-0.032717436364492626,-0.08879157544872646,0.024778030303996064,0.12384956777095794,0.10093612715601921,0.14661786165088414,-0.07295871824026108,-0.09395261690020561,-0.05178670035675169,-0.0015870233997702598,-0.006208962679374963,0.0032804025732912057,-0.0002622532192617655,-0.0012651334470137954,0.000847066731657832,0.5350735057880581,-2.157067793685345,2.979895226993776,0.046491139148334526,-0.16358718182246312,0.3252843379835825,0.10397887229919434,0.6192478388547897,0.8272055834531784,0,0,0
DiagReachK3,KL,180,cost_1,0.20553029029654138,0.05549776135501783,-0.006744003086991969,0.11376673170267404,0.13539912700653076,0.11254254914820194,0.15898411225527523,0.2627669990062714,0.25989652693271637,0.26595717638731,0.1500325289415235,0.09176355859386727,0.21227429338353324,-0.07990136565151293,-0.14626919960299986,-0.025369980762676714,-0.1273678719997406,-0.1506085753440857,-0.10366173028945923,0.13495534360408784,0.11365171782672405,0.15709803350269794,8.933995850384236e-05,-0.0038395762455184015,0.004374023682903498,0.0003545316867530346,-0.0005680990335531533,0.0013734383683186024,0.4101393972230217,0.7501626447076175,2.1106337676494333,0.05564728169214442,-0.3995068282575647,0.4917807205090774,0.26602327823638916,-0.636839359998703,1.9389287531375885,0,0,0
DiagReachK3,KL,180,cost_2,-0.37849319676286974,-0.06322755890191838,-0.1543721222711767,0.03270213797138372,0.046249115467071535,0.011080434881150724,0.0835375105217099,-0.009545546770095826,-0.01756743922829628,-0.0003225572407245649,-0.3152656378609513,-0.4111953347342535,-0.22412107449169308,-0.10947667436898993,-0.19026947650985976,-0.020896513872168794,0.05579465627670288,0.020369891077280045,0.09663202315568922,0.04506256431341171,0.011248324252665042,0.07991827107965942,0.0014422262087464333,-0.005600172774866223,0.009805539287626739,-0.0002557337284088135,-0.002051717210561037,0.001602624817751348,0.7844201903087435,-1.5763281893047565,3.9795963928101092,0.10018273655168547,-0.5473833718449497,0.7283799569480197,0.22717970609664917,0.2789732813835144,1.8196552991867065,0,0,0
DiagReachK3,W2,180,shaped,1.747945660923072,0.6758952438456252,0.5046461586879357,0.830128814264431,0.5421240866184235,0.4705566405504942,0.6108882300555705,0.3889183446764946,0.38549791678786277,0.3924190286546946,1.072050417077447,0.917816846658641,1.243299502235136,0.13377115722720173,0.00957847194111872,0.2549822487031961,0.15320575833320618,0.08115485340356826,0.2220614545047283,0.49284242987632754,0.42605781033635143,0.555035048648715,0.05223063472658396,0.04077090476406738,0.06347108093556017,-0.0029490547254681586,-0.006369187468662858,0.0006075832387432439,1.106087499448793,5.360252085387235,5.360252085387235,0.13574958961931283,0.6688557861360087,1.0157388503631168,0.6525198221206665,0.7660287916660309,3.733456999063492,0,0,4
DiagReachK3,W2,180,raw,0.3683360586142301,0.1504593381309128,0.11139258592846871,0.18444847460410763,0.18115917257964612,0.16388700076378881,0.1992888750694692,0.3889183446764946,0.38549791678786277,0.3924190286546946,0.21787672048331727,0.18388758401012242,0.25694347268576134,-0.030699834448733275,-0.07345380208794468,0.007600019263006865,-0.2077591598033905,-0.2257906316034496,-0.18906513657420876,0.16682837754487992,0.14986851384863256,0.18367080454714593,0.01676351949572563,0.012887353450059891,0.021773628082592037,-0.0024327173829078673,-0.004019942048471421,-0.0010913100559264426,0.2959228205352736,1.0893836024165864,1.4453155070846337,0.05063803994991384,-0.15349917224366638,0.31891127935893565,0.13613522052764893,-1.0387957990169525,1.8012453615665436,1,1,3
DiagReachK3,W2,180,penalty,-1.3796095688011982,-0.525435906093913,-0.6802180123114703,-0.3546119129740614,-0.36096487045288084,-0.43002789352089166,-0.2892800954543054,0.0,0.0,0.0,-0.8541736627072855,-1.024997655827137,-0.6993915564897283,-0.16447103564103216,-0.27758265359087814,-0.04809955656330552,-0.36096487045288084,-0.43002789352089166,-0.2892800954543054,-0.3260140925645828,-0.3917356073483825,-0.25981723308563237,-0.03546712333336473,-0.047457381864078343,-0.024874102252069867,0.0005163423717021942,-0.003088676885236055,0.003938052926678211,0.7803589633270825,-4.270868313536427,5.103365760673372,0.1036816251369258,-0.8223551782051608,0.8985789384413256,0.36277979612350464,-1.8048243522644043,1.9322112202644348,0,0,1
DiagReachK3,W2,180,cost_0,-0.5350355523031898,-0.12290653319200855,-0.18564881625285587,-0.05760569177627223,-0.08417813032865525,-0.10578953824937344,-0.062064375579357164,-0.2233802556991577,-0.2284081409871578,-0.21800890818238258,-0.41212901911118127,-0.47742986052691766,-0.34938673605033405,-0.0387284028633533,-0.09707006833160388,0.024881298548996022,0.13920212388038636,0.11603147938847541,0.16182366095483303,-0.08383145034313202,-0.10466133028268813,-0.06254765130579476,0.0011308335699141026,-0.0039775905595161015,0.0064801804022863495,-0.0014774766750633717,-0.002565977247431874,-0.000289248840417713,0.4867985233577205,-2.0606450955559064,2.9216498808929203,0.05509037936921407,-0.1936420143167665,0.35078723814809304,0.13505786657333374,0.6960106194019318,0.8962916433811188,0,0,0
DiagReachK3,W2,180,cost_1,0.2305232800792722,0.029827110915354994,-0.03384159908835141,0.08992635819475545,0.1106226347386837,0.08745810715481639,0.13449962025508283,0.2213858723640442,0.2185419625043869,0.2244524073600769,0.20069616916391717,0.1405969218845167,0.2643648791676236,-0.0807955238233287,-0.14729407876046988,-0.024307750203373644,-0.11076323986053467,-0.13300719566643238,-0.08715339593589307,0.1099417120218277,0.08919784028083086,0.13172035234048962,0.00033663571812212465,-0.004176381906727329,0.005240228828042743,0.0003442602232098579,-0.0007817513460759073,0.0014265681419055908,0.45672724481119603,1.0034808458195859,2.1480250688226445,0.06833393080236275,-0.40397761911664354,0.5274987450579434,0.19953405857086182,-0.5538161993026733,1.7665907144546509,1,0,0
DiagReachK3,W2,180,cost_2,-0.3462844182660219,-0.10346414814899167,-0.1938568040611438,-0.005277235422669211,0.012860099226236344,-0.02325274221599102,0.05043220762163392,-0.07415183931589127,-0.0823478327691555,-0.06474733471870422,-0.2428202701170302,-0.34100718284335274,-0.1524276142048781,-0.11632424737522802,-0.2064396580923674,-0.023870056364445245,0.0870119385421276,0.05185568211600185,0.1272931181266903,0.008842663466930389,-0.024491760954260828,0.04463915375992653,0.00579491388052702,-0.0024390663439407944,0.015125952614471316,-0.001777555514127016,-0.0037162034912034867,0.00033254939597099993,0.7868909629830361,-1.214101350585151,3.7332890248931205,0.1179790039213291,-0.5816212368761401,0.804880595410686,0.224828839302063,0.43505969271063805,1.6778709031641483,0,0,0
DiagReachK3,KL,186,shaped,1.356508657524121,0.31509903144456974,0.1887951506032358,0.4630426516077421,0.269764468818903,0.22124683205969634,0.3178985591419041,0.10189558863639832,0.09777526650577784,0.10583439290523529,1.0414096260795511,0.893466005916379,1.1677135069208853,0.045334562625666756,-0.07757946252613439,0.17857164405772652,0.16786887422204017,0.12206530447117984,0.21609854934737083,0.2507027745246887,0.20581320034340023,0.2984401702415198,0.015723046194761992,0.008154955254867674,0.023379191608401014,0.0033385688439011574,0.00042855985695496203,0.00647666935808956,0.731764767866354,5.207048130397756,5.207048130397756,0.08913996267476883,0.2266728131283338,0.4895649110735089,0.3621692657470703,0.8393443711102009,1.580046933144331,0,0,3
