env,seed,metric,combo,inner_reward,outer_reward,job,cycle,steps,phase,episodes,raw_reward,shaped_reward,penalty,joint,any_event,cost_mean,event,excess
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,13,6720,acceptance,8,9.309456075445633,9.309456075445633,0.0,1.0,0.0,"[5.7822569608688354, 5.496910333633423]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,14,7200,exploration,20,7.285498554002842,6.0435150807019085,1.2419834733009338,0.15,0.55,"[5.6737482905387875, 3.846934449672699]","[0.5, 0.05]","[0.10644607146581012, 0.0008364041646321651]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,14,7200,selection,12,9.103995141000025,9.026947643965952,0.07704749703407288,0.6666666666666666,0.3333333333333333,"[5.438043117523193, 5.480436563491821]","[0.3333333333333333, 0.0]","[0.015409496095445415, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,14,7200,acceptance,8,9.273048516715063,9.273048516715063,0.0,1.0,0.0,"[5.8598473072052, 5.486906290054321]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,15,7680,exploration,20,7.93938849806087,4.928158848874736,3.0112296491861343,0.25,0.6,"[5.676227998733521, 5.650316083431244]","[0.45, 0.3]","[0.11858735084533692, 0.0873207688331604]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,15,7680,selection,12,8.83061557169943,8.828482669156681,0.0021329025427500405,0.9166666666666666,0.08333333333333333,"[4.993106285730998, 5.106425921122233]","[0.08333333333333333, 0.0]","[0.0004265838199191685, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,15,7680,acceptance,8,9.15380252498926,9.15380252498926,0.0,1.0,0.0,"[5.502882719039917, 5.472824335098267]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,16,8160,exploration,20,7.737911960888269,6.619440725851419,1.11847123503685,0.35,0.4,"[5.45628000497818, 4.65866985321045]","[0.3, 0.1]","[0.08004685242970785, 0.011825390656789147]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,16,8160,selection,12,9.328925991918732,9.16933018452534,0.15959580739339194,0.6666666666666666,0.3333333333333333,"[5.652636448542277, 5.731495022773743]","[0.3333333333333333, 0.3333333333333333]","[0.01632170544730292, 0.011898855368296305]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,16,8160,acceptance,8,9.329764805623562,9.32594727713731,0.003817528486251831,0.75,0.25,"[5.722764253616333, 5.600719451904297]","[0.25, 0.0]","[0.0007634957631428851, 0.0]"
DiagReachK2,180,KL,RR,raw,raw,development_DiagReachK2_s180_KL_RR,17,8640,exploration,20,7.445146221746045,6.286152023900586,1.158994197845459,0.25,0.4,"[4.639193773269653, 4.570589429140091]","[0.25, 0.2]","[0.039010580380757644, 0.046774752934773754]"
