run,arm,seed,env,episodes,reward,hard_events,hard_rate,hard_cp95,soft_cost,soft_budget,soft_mean_feasible,soft_episode_exceedance,checkpoint_binding,eval_file,eval_sha256,config_sha256,comparison_config_sha256,train_steps,margin,mode,prox_budget
PG2_fdpi_integral_r2_s1,PG2_fdpi_integral_r2,1,SafetyPointGoal2-v0,312,-0.20085385111476206,0,0.0,0.009555756807037344,0.0,25.0,True,0.0,filename_only_checkpoint_not_in_mirror,PG2_fdpi_integral_r2_s1/strict_eval_params_1990002.json,f1d4166a5239ad0239ba90159779ff58f82e17d5d44ff6a6b2c3889bc2b6e99f,b0cea3abe6de3b940514342efecf0d1c9a2cc57e5dd032c357ba7f89d9c9bcc3,70c10d441a8ec3386d16966fa14e5f71f6cb6ec97719d64bfced180a0c794a2e,2000000,0.8,integral,0.0
PG2_fdpi_integral_r2_s4,PG2_fdpi_integral_r2,4,SafetyPointGoal2-v0,312,0.011780282663339955,0,0.0,0.009555756807037344,0.0,25.0,True,0.0,filename_only_checkpoint_not_in_mirror,PG2_fdpi_integral_r2_s4/strict_eval_params_1990002.json,9212fee27bdd24d13e97c48a444adac964d76797b59143a81fdad101928bb2ee,cfe6ed97898ab223061bcda8ef418948622e5a6a9f8ec357d8478ff62e1a80e1,70c10d441a8ec3386d16966fa14e5f71f6cb6ec97719d64bfced180a0c794a2e,2000000,0.8,integral,0.0
PG2_fdpi_integral_r2_s5,PG2_fdpi_integral_r2,5,SafetyPointGoal2-v0,312,2.0540553718042944,0,0.0,0.009555756807037344,0.5673076923076923,25.0,True,0.003205128205128205,filename_only_checkpoint_not_in_mirror,PG2_fdpi_integral_r2_s5/strict_eval_params_1990002.json,e7c683ae4a97a8470a8fa88c120f2480178085d6de9e9dc61f8106314ab9b233,26fe11533b90864b468730f382e9c14aad2e5113cd3658e18c1b7006b5258459,70c10d441a8ec3386d16966fa14e5f71f6cb6ec97719d64bfced180a0c794a2e,2000000,0.8,integral,0.0
PG2_fdpi_lp_m0.85_r2_s2,PG2_fdpi_lp_m0.85_r2,2,SafetyPointGoal2-v0,312,11.408021123986527,9,0.028846153846153848,0.04979666906434444,14.862179487179487,25.0,True,0.2564102564102564,filename_only_checkpoint_not_in_mirror,PG2_fdpi_lp_m0.85_r2_s2/strict_eval_params_1990002.json,f446d7bdfa4e9f29e7b7d80160a67b7b37057ba9d811336be5e0ba6e10fe50a0,9ba95ba7f5c22a8d292c9b9e4314da133b72e0512e5d726ea81fc5eec25d3971,ef5d1c3d506064161cecc136fb003ad018b14ea82eed66e7e6c2d7d227636d86,2000000,0.85,lp,0.0
PG2_fdpi_lp_m0.95_r2_s1,PG2_fdpi_lp_m0.95_r2,1,SafetyPointGoal2-v0,312,19.288156171812407,41,0.13141025641025642,0.16710656842231783,23.10576923076923,25.0,True,0.38461538461538464,filename_only_checkpoint_not_in_mirror,PG2_fdpi_lp_m0.95_r2_s1/strict_eval_params_1990002.json,480df2960b980c6b02a89771c36e6ecdb80660c75f0ab128eefe2a73f7310d2e,ab641179648fc54a73d950f84f0ad3f9878fb59f9d15c02bce13d7ea5355c29e,84918d3beb871f953b04675e6da911eebebb9c2da50ac5b3df147c9c6a661902,2000000,0.95,lp,0.0
PG2_fdpi_lp_m0.95_r2_s3,PG2_fdpi_lp_m0.95_r2,3,SafetyPointGoal2-v0,312,19.39985730751108,10,0.03205128205128205,0.05375958556380092,13.275641025641026,25.0,True,0.18269230769230768,filename_only_checkpoint_not_in_mirror,PG2_fdpi_lp_m0.95_r2_s3/strict_eval_params_1990002.json,45edab86e02d0a9ce0a1d57b2bb9c8292f1da58ad0408a5f6435a4d3325e7099,f7afc2735f1e97c3b84c13e6d41d9a64b3beb81c791286a56add5242f0f1b5ca,84918d3beb871f953b04675e6da911eebebb9c2da50ac5b3df147c9c6a661902,2000000,0.95,lp,0.0
PG2_fdpi_lp_prox20_r2_s1,PG2_fdpi_lp_prox20_r2,1,SafetyPointGoal2-v0,312,4.787423558882797,1,0.003205128205128205,0.015113773151500549,5.333333333333333,25.0,True,0.07371794871794872,checkpoint_sha256_verified,PG2_fdpi_lp_prox20_r2_s1/strict_eval_params_1990002.json,4de778db4e9242ce2b8f3b0452c5e0be33e85a7ae750125cbc6b3624d02da955,d578dc7aa2e701f7776771a13b463c10f6021a135ccded604a844748db1c1cd3,3df185358a9008de53b1b7ab7ea4296f7b8599fc654d4b5b9a826b83e65276ea,2000000,0.8,lp,20.0
PG2_fdpi_lp_prox20_r2_s2,PG2_fdpi_lp_prox20_r2,2,SafetyPointGoal2-v0,312,2.302052109814148,0,0.0,0.009555756807037344,1.7756410256410255,25.0,True,0.022435897435897436,checkpoint_sha256_verified,PG2_fdpi_lp_prox20_r2_s2/strict_eval_params_1990002.json,616888c6b1f93274d80c1f4015b2f2b94fb998aedca1171ae154dca30774a94a,f9c5453a2b51b97338bce80766c939466163c6821a0c33091fc0fe63422a6bc8,3df185358a9008de53b1b7ab7ea4296f7b8599fc654d4b5b9a826b83e65276ea,2000000,0.8,lp,20.0
PG2_fdpi_lp_prox20_r2_s3,PG2_fdpi_lp_prox20_r2,3,SafetyPointGoal2-v0,312,3.3011947583956074,0,0.0,0.009555756807037344,0.1891025641025641,25.0,True,0.0,checkpoint_sha256_verified,PG2_fdpi_lp_prox20_r2_s3/strict_eval_params_1990002.json,b8addb65a77f3e4f13930b16309e6e5470b10a3598ac2d000fcba5bec4346a18,3e25537de0df62b42da706c63575ad5ba170e6f92c61d854ce4009e62154c21b,3df185358a9008de53b1b7ab7ea4296f7b8599fc654d4b5b9a826b83e65276ea,2000000,0.8,lp,20.0
PG2_fdpi_lp_prox40_r2_s1,PG2_fdpi_lp_prox40_r2,1,SafetyPointGoal2-v0,312,3.6698721608896356,0,0.0,0.009555756807037344,1.4743589743589745,25.0,True,0.00641025641025641,checkpoint_sha256_verified,PG2_fdpi_lp_prox40_r2_s1/strict_eval_params_1990002.json,d67a54eb6f31694e7d028463660724ece80436d6ae82d3090edd52503233c6ed,db587cd704da531ff248eb4faa8f585a843a3b93d0c51a3a3582782ff3a73d5c,a6c7871ba3767ffeb08b1c35402f0c90a1b47ee47b5f1272c4677b69e7069a5d,2000000,0.8,lp,40.0
