env,seed,cycle,anchor,candidate,Gtrain,Gsample,Gdet,Gsample_raw,Gdet_raw,Gsample_penalty,Gdet_penalty,optimism_sample,optimism_sample_lo,optimism_sample_hi,Ghold_common_timeLOO,hold_contribution_std,sample_contribution_std
DiagReachK2,187,18,13,timeW2,2.666725334387287,0.2855119367010047,0.16272698143979533,0.03572202537870914,0.16272698143979533,-0.24978991132229567,0.0,2.3812133976862824,2.2436264618629447,2.502004087466507,0.6032009460538136,1.9931750540332638,0.5767043081240985
DiagReachK2,187,18,13,cfKL,9.479896789567489,0.2826381859424144,-0.4766605735246285,-0.08290520281916552,-0.4766605735246285,-0.36554338876158,0.0,9.197258603625075,8.970325057157293,9.403727544409819,0.04803102781042311,2.4619498754639046,0.972039641390918
DiagReachK2,187,18,13,cfW2,8.134102927849005,0.2447650155170778,-0.48015464277969466,-0.10104286557743762,-0.48015464277969466,-0.3458078810945153,0.0,7.889337912331928,7.688136063944486,8.074056892223187,0.07439438906362153,1.93017455702845,0.8769028070028425
DiagReachK3,180,6,16,timeKL,2.508184408627328,0.5508794757835629,-0.019959824337274834,0.15846326773241773,-0.020806582822115227,-0.3924162080511451,-0.0008467584848403931,1.957304932843765,1.7573188828550956,2.157660095115991,1.2201288767074225,3.2604859476073784,0.8213530165770692
DiagReachK3,180,6,16,timeW2,2.721840487915337,0.6003534924030645,-0.0951377923105613,0.12042172157916863,-0.09598455079540169,-0.47993177082389593,-0.0008467584848403931,2.121486995512272,1.8816775771550163,2.3445264350921606,1.249532573052046,3.5262275946136685,0.931902440949356
DiagReachK3,180,6,16,cfKL,2.7510730234161875,0.3832398106553227,0.08969565650040714,-0.040348956061097965,0.08884889801556675,-0.42358876671642065,-0.0008467584848403931,2.367833212760865,2.130581831846836,2.589970351691517,0.7913926595884813,3.1557467091433304,0.9515215979399365
DiagReachK3,180,6,16,cfW2,3.208999058815042,0.4427600682330194,0.035765134937537246,-0.08028486440061895,0.03491837645269685,-0.5230449326336384,-0.0008467584848403931,2.7662389905820226,2.5060919588944848,3.016344367221865,0.8339753940436976,3.463484132777362,1.0576704747624608
DiagReachK3,180,18,18,timeKL,2.225383630765327,0.37642751292560184,-0.0793987303809445,-0.11439062251474762,-0.0793987303809445,-0.4908181354403496,0.0,1.848956117839725,1.5034342721675953,2.1125207992573345,0.8734632712036594,4.394545660594856,1.1992123750209345
DiagReachK3,180,18,18,timeW2,2.1272982751794687,0.37895656851012516,-0.031975145979322495,-0.07891741386722509,-0.031975145979322495,-0.45787398237735033,0.0,1.7483417066693434,1.4260734477861,1.995181321605536,0.8304926051326029,4.140479721234632,1.1255519091504194
DiagReachK3,180,18,18,cfKL,1.5146456983539893,0.25485882732134524,-0.24333287230192577,-0.28960311588782606,-0.24333287230192577,-0.5444619432091713,0.0,1.259786871032644,0.8908664244316074,1.537773406847881,0.8032900881765281,3.865971182453303,1.2872551750056693
DiagReachK3,180,18,18,cfW2,1.4562844438814888,0.2641009602966733,-0.21097002412034255,-0.24373104159803904,-0.21097002412034255,-0.5078320018947124,0.0,1.1921834835848155,0.8437249125244093,1.4530698791307417,0.7832582477615034,3.656929355281676,1.2203620873188643
DiagReachK3,186,6,21,timeKL,0.7369686180518314,0.07664895303714747,-0.015780826504407985,0.029244890102927648,-0.015780826504407985,-0.04740406293421984,0.0,0.660319665014684,0.5611828996462449,0.7435427436226275,-0.1461398035178977,1.133412165138146,0.3812479151067797
DiagReachK3,186,6,21,timeW2,0.951676843479429,0.024962539933858552,0.035261759009597604,0.0707849889623505,0.035261759009597604,0.045822449028491974,0.0,0.9267143035455705,0.8179329877572489,1.0288730528999053,-0.25644580026290154,1.6022248183320282,0.45162790578498013
DiagReachK3,186,6,21,cfKL,0.7045394920146777,0.3085878724306897,-0.2784158457103444,0.01849333290756487,-0.2784158457103444,-0.2900945395231247,0.0,0.39595161958398806,0.22056243719809057,0.5267337029811228,0.3819745277800174,1.3512754178455442,0.6153137233708247
DiagReachK3,186,6,21,cfW2,0.8635230668451304,0.3361377212208028,-0.314341887904641,-0.006023296249258972,-0.314341887904641,-0.3421610174700618,0.0,0.5273853456243276,0.3229634228511193,0.6784624174506674,0.47436704737641694,1.5434567818586866,0.709886373977325
DiagReachK3,186,18,23,timeKL,0.6831586865049869,-0.058351763334394444,0.048297425742930444,0.11026230752813734,0.13799943589765457,0.16861407086253166,0.08970201015472412,0.7415104498393813,0.6373624475712742,0.8407909944930152,-0.04646854913315448,0.9829716230736465,0.44582361773501744
DiagReachK3,186,18,23,timeW2,0.8488884469994422,-0.11175783887301803,-0.04865564770952904,0.10309555497224215,0.13364859025969064,0.21485339384526014,0.18230423796921968,0.9606462858724603,0.8307389463084222,1.07940328663876,-0.04602508723276178,1.5841188686627292,0.558235282931114
DiagReachK3,186,18,23,cfKL,0.7667143385846724,-0.3116102724465236,0.01611802105144297,0.1560372232330338,0.16127324972585474,0.4676474956795573,0.14515522867441177,1.0783246110311961,0.9448980803832522,1.2376328010039899,-0.16905470191311853,1.5390156451328396,0.6406010423679576
DiagReachK3,186,18,23,cfW2,1.0921840223726504,-0.22768047733316066,0.04352982307646017,0.17009199036201592,0.11220053921315412,0.3977724676951766,0.06867071613669395,1.319864499705811,1.1524371584934598,1.5076908074588182,-0.051155313520662285,2.3197534572087175,0.7416160715638487
DiagReachK3,187,6,26,timeKL,4.52516890975083,0.16555963481350777,-0.658440443227301,-0.24577269631863588,-0.658440443227301,-0.41133233113214374,0.0,4.3596092749373225,4.128132163676435,4.551615164275711,0.37794856708745106,1.5870074745166547,0.8846047549597171
DiagReachK3,187,6,26,timeW2,4.221278865185862,0.21488769613733913,-0.40356102830191976,-0.11444691633278108,-0.40356102830191976,-0.3293346124701202,0.0,4.006391169048523,3.814843563876433,4.161391952172537,0.3444635174787474,1.3445741292640168,0.7378543738429109
DiagReachK3,187,6,26,cfKL,4.201296464535501,0.3096353578355775,-0.524992345228748,-0.17052714815617936,-0.524992345228748,-0.4801625059917569,0.0,3.8916611066999236,3.607755470781178,4.109738039907181,0.3848090071190102,1.3264967310262703,1.046009918606523
DiagReachK3,187,6,26,cfW2,2.6863190643812316,0.1462023285098894,-0.5550743288447851,-0.2863032115742044,-0.5550743288447851,-0.4325055400840938,0.0,2.5401167358713423,2.3022492490223185,2.7373477410432923,0.33643040207072517,1.4279362997351688,0.9176158462295348
DiagReachK3,187,18,28,timeKL,1.1812021638784571,0.4064049874918967,-0.12802886896824894,-0.06671110396064237,-0.1286115043709284,-0.47311609145253897,-0.0005826354026794434,0.7747971763865604,0.4829227613148561,1.017118522797974,0.39088595421174177,1.6097646961372096,1.1083947159286007
DiagReachK3,187,18,28,timeW2,1.3018482498647637,0.47151560399536285,-0.14120679004190592,-0.07917251933511116,-0.14178942544458537,-0.5506881233304739,-0.0005826354026794434,0.8303326458694009,0.49089971843619845,1.1061513476762361,0.48298047894711177,1.7892278993531205,1.2822600663009593
DiagReachK3,187,18,28,cfKL,1.0323004327562095,0.19883067107434738,-0.16584725141001383,-0.22408950615067613,-0.16642988681269327,-0.4229201772250235,-0.0005826354026794434,0.8334697616818622,0.551076113507352,1.0672015242069393,0.17390125078573818,1.0388307656207172,1.0057417494071272
DiagReachK3,187,18,28,cfW2,1.039623231700758,0.19960314565023524,-0.14987009046672034,-0.21138821897411608,-0.15045272586939978,-0.41099136462435126,-0.0005826354026794434,0.8400200860505229,0.5627588436762092,1.066312174460589,0.15460878012632007,1.0347714867443203,0.9804340822368771
