job,env,seed,metric,estimator,cycle,actual_steps,phase,episodes,raw_reward,shaped_reward,penalty,joint,any_event,mean_cost,event,excess,cumulative_overbudget_amount
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,24,12000,selection,12,8.849704037026578,8.849704037026578,0.0,1.0,0.0,"[4.9920293887456255, 4.647202253341675]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_cf_state,DiagReachK2,180,KL,cf_state,24,12000,acceptance,8,9.22539690346457,9.22539690346457,0.0,1.0,0.0,"[5.527888298034668, 5.167996644973755]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,0,480,exploration,20,3.2241866626008417,3.0743336416943934,0.14985302090644836,0.1,0.05,"[1.5594119757413865, 1.6262317836284637]","[0.05, 0.05]","[0.0009512583414713505, 0.015306381384531654]",1.9509167671203613
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,0,480,selection,12,3.712231025076471,3.712231025076471,0.0,0.0,0.0,"[0.35190225144227344, 0.9518792008360227]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,0,480,acceptance,8,4.2181462437147275,4.2181462437147275,0.0,0.0,0.0,"[0.6755631566047668, 1.260714951902628]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,1,960,exploration,20,4.680874697079998,4.047889611831051,0.6329850852489471,0.15,0.1,"[2.2841935262084005, 2.948697417974472]","[0.05, 0.1]","[0.003461587429046631, 0.044056046009063723]",5.702116012573242
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,1,960,selection,12,6.657159191926865,6.657159191926865,0.0,0.3333333333333333,0.0,"[2.58206969499588, 2.425686796506246]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,1,960,acceptance,8,6.842277829254454,6.842277829254454,0.0,0.5,0.0,"[2.9393168687820435, 2.5165653973817825]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,2,1440,exploration,20,6.959208891924353,5.112235353525611,1.8469735383987427,0.1,0.45,"[4.297142696380615, 4.123238010704517]","[0.3, 0.2]","[0.053297034899393726, 0.07144033511479696]",14.96848440170288
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,2,1440,selection,12,7.733007110757414,7.7191146588353154,0.013892451922098795,0.6666666666666666,0.25,"[4.864257534344991, 2.5583153565724692]","[0.25, 0.0]","[0.0027784903844197593, 0.0]",0.20005130767822266
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,2,1440,acceptance,8,7.9355965253227625,7.9355965253227625,0.0,1.0,0.0,"[4.3625946044921875, 3.1898499727249146]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,3,1920,exploration,20,6.32167880287394,4.640158579256386,1.6815202236175537,0.2,0.25,"[4.228767913579941, 3.149506203830242]","[0.15, 0.15]","[0.04070361852645874, 0.04953749974568685]",10.82893419265747
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,3,1920,selection,12,7.543514863479202,7.543514863479202,0.0,1.0,0.0,"[3.9881624380747476, 2.4745897352695465]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,3,1920,acceptance,8,7.96072762903641,7.96072762903641,0.0,1.0,0.0,"[4.521643280982971, 3.030844748020172]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,4,2400,exploration,20,6.7040656147780835,6.1100846765819,0.5939809381961823,0.3,0.15,"[4.229766416549682, 3.3824381813406945]","[0.1, 0.05]","[0.028542649745941163, 0.005905413627624511]",4.133767604827881
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,4,2400,selection,12,8.544568891345019,8.544568891345019,0.0,1.0,0.0,"[4.745924512545268, 4.156057119369507]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,4,2400,acceptance,8,8.586582549166632,8.586582549166632,0.0,1.0,0.0,"[4.797895729541779, 4.2099809646606445]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,5,2880,exploration,20,6.886221916144715,5.269641996091233,1.616579920053482,0.1,0.45,"[4.1067797735333444, 4.59588435292244]","[0.2, 0.35]","[0.04494479497273762, 0.08832470973332723]",15.992340564727783
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,5,2880,selection,12,8.886705059647404,8.886705059647404,0.0,1.0,0.0,"[4.930739641189575, 4.761382699012756]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,5,2880,acceptance,8,9.211465686955489,9.211465686955489,0.0,1.0,0.0,"[5.31980562210083, 5.275716304779053]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,6,3360,exploration,20,7.7040367673826395,5.185117537875194,2.5189192295074463,0.35,0.45,"[5.597563338279724, 5.006245052814483]","[0.35, 0.25]","[0.107689102490743, 0.07633206049601236]",22.082539558410645
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,6,3360,selection,12,8.509099734177774,8.509099734177774,0.0,1.0,0.0,"[4.3135431210199995, 4.564297040303548]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,6,3360,acceptance,8,9.19351318187546,9.19351318187546,0.0,1.0,0.0,"[5.245325922966003, 5.2226808071136475]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,7,3840,exploration,20,6.8042362464824695,5.879448993341066,0.9247872531414032,0.15,0.55,"[3.940136781334877, 4.4721414059400555]","[0.2, 0.35]","[0.03372788826624552, 0.05952973365783691]",11.190914630889893
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,7,3840,selection,12,9.198298641340807,9.132612584329522,0.06568605701128642,0.75,0.25,"[5.747784455617269, 5.236609578132629]","[0.25, 0.0]","[0.013137208090888123, 0.0]",0.9458789825439453
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,7,3840,acceptance,8,9.174262465047649,9.174262465047649,0.0,1.0,0.0,"[5.394473195075989, 5.287642061710358]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,8,4320,exploration,20,7.319541385108605,6.279602920347825,1.0399384647607803,0.3,0.4,"[4.708289706707001, 4.234912544488907]","[0.3, 0.25]","[0.058263917764027916, 0.03474780321121216]",11.161406517028809
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,8,4320,selection,12,9.004505012397324,9.004505012397324,0.0,1.0,0.0,"[5.02121098836263, 5.192516326904297]","[0.0, 0.0]","[0.0, 0.0]",0.0
development_DiagReachK2_s180_KL_time_loo,DiagReachK2,180,KL,time_loo,8,4320,acceptance,8,9.219172730552962,9.219172730552962,0.0,1.0,0.0,"[5.709066271781921, 5.520692229270935]","[0.0, 0.0]","[0.0, 0.0]",0.0
