env,seed,cycle,anchor,candidate,channel,Gtrain,Ghold,Gsample,Gdet,optimism,optimism_lo,optimism_hi,Gdet_lo,Gdet_hi,hold_episode_contribution_std,sample_episode_contribution_std
DiagReachK2,180,18,3,rawW2,penalty,2.0718259503395595,0.5680534362921934,0.675760405138135,0.231007500551641,1.3960655452014246,1.2025700608996042,1.6067491218476855,0.2010688732843846,0.2656076088314876,2.0601531621666,0.8107033731760346
DiagReachK2,180,18,3,rawW2,cost_0,0.5163621304993067,0.42956042007809175,0.31248341873288155,0.5329158380627632,0.20387871176642514,0.18249988848981596,0.22663836660501693,0.5303423203527927,0.5354640455916524,0.7229860946698085,0.09941056671737589
DiagReachK2,180,18,3,rawW2,cost_1,0.8060202675564879,0.35157321955493753,0.3150990894064307,0.43648406863212585,0.4909211781500572,0.44814163415419994,0.529566355810567,0.4326198134571314,0.44052980225533245,0.8636069275547094,0.17485611134862328
DiagReachK2,186,6,6,shapedKL,shaped,0.5080520451556312,0.21685579117552467,0.1531142344386808,-0.12030987633152093,0.3549378107169504,0.22549906179427032,0.47523028614212076,-0.13069543598950537,-0.10975645548716774,1.2232498461540195,0.5433850841893673
DiagReachK2,186,6,6,shapedKL,raw,0.19742169752792404,-0.028833512295087863,-0.04162903189048834,-0.12030987633152093,0.23905072941841238,0.20142255477095092,0.2775761059803709,-0.13069543598950537,-0.10975645548716774,0.4425855499008785,0.16116082850417576
DiagReachK2,186,6,6,shapedKL,penalty,-0.31063032594189477,-0.24568930189937288,-0.19474326632916927,0.0,-0.1158870596127255,-0.22075797141675335,0.005168608607198379,0.0,0.0,1.1370900198302807,0.49445154683932513
DiagReachK2,186,6,6,shapedKL,cost_0,0.2036645719283599,0.056744832877054854,0.07993125263601542,0.2509264424443245,0.12373331929234449,0.09609313562655483,0.15573897766558112,0.2493951577693224,0.2523442504927516,0.7388347429237762,0.11626590758909335
DiagReachK2,186,6,6,shapedKL,cost_1,-0.21490981728353215,-0.5130091309361039,-0.34158781729638577,-0.5674158297479153,0.12667800001285362,0.0867174326623543,0.16647289841852472,-0.5693183696828783,-0.565572953876108,0.7255783455425555,0.17182083630192102
DiagReachK2,186,6,6,shapedW2,shaped,0.556634413348787,0.2704065190858993,0.15968859797490076,-0.18112383948446184,0.3969458153738863,0.24480502988246122,0.5476007729444365,-0.19295411038178356,-0.16927379615855392,1.564780292395649,0.6610852808288373
DiagReachK2,186,6,6,shapedW2,raw,0.2334715646248736,-0.040996876290022785,-0.07293084500211051,-0.18112383948446184,0.3064024096269841,0.25922899243755093,0.35261200272270476,-0.19295411038178356,-0.16927379615855392,0.5826417100931994,0.19939102968447303
DiagReachK2,186,6,6,shapedW2,penalty,-0.32316282251662853,-0.31140339024528096,-0.2326194429770112,0.0,-0.09054337953961733,-0.2166026702597672,0.0590853921622102,0.0,0.0,1.4609685352544983,0.5980171997226085
DiagReachK2,186,6,6,shapedW2,cost_0,0.31559725027743385,0.05005978072965124,0.09988522529602051,0.29688460379838943,0.21571202498141334,0.1818460065520148,0.2540841610750894,0.2949013249948621,0.29888285137712955,0.938927601803881,0.13721779460569888
DiagReachK2,186,6,6,shapedW2,cost_1,-0.28526353688642453,-0.6856065859522799,-0.47631397377699614,-0.7756083346903324,0.1910504368905716,0.14086297390319336,0.24396215372987018,-0.7779112707823514,-0.7735071372240782,0.9543665937021247,0.22056206531807365
DiagReachK2,186,6,6,rawKL,shaped,0.442043975144478,0.28569034383367264,-0.023875257869621913,0.2106425695081276,0.46591923301409993,0.3521382843380419,0.6015187711308075,0.2044028794624414,0.21683526458907246,1.4625695178836537,0.5330458993173537
DiagReachK2,186,6,6,rawKL,raw,0.7103104939963643,0.3610270600972497,0.2675639205301196,0.2106425695081276,0.44274657346624463,0.4082487651202218,0.48253042291007364,0.2044028794624414,0.21683526458907246,0.47431371847621456,0.15623875503034704
DiagReachK2,186,6,6,rawKL,penalty,0.2682665021121243,0.07533672904390519,0.29143917839974165,0.0,-0.023172676287617322,-0.16530927371143156,0.09803230005406961,0.0,0.0,1.4272942552345576,0.5343094896074108
