queue,task,arm,training_seed,mode,episodes,reward,cost,episode_budget_exceedance,checkpoint_sha256
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda1,2,deterministic,30,13.276884343700562,72.23333333333333,0.6333333333333333,aeeedce13e693d9e33423b18a7718e2e0cb2e13ddb3ac1f1de0e7ec661fbd013
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda1,2,stochastic,30,14.305784149421314,84.0,0.7,aeeedce13e693d9e33423b18a7718e2e0cb2e13ddb3ac1f1de0e7ec661fbd013
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda1,3,deterministic,30,6.309898483584571,68.76666666666667,0.6,6558766c559c040eb8cc60d9a38fd140ecb73b206b931931834bfd1cc0434dcb
runs_effect_v1,SafetyPointBuildingButton1-v0,penalty_lambda1,3,stochastic,30,6.889436403809941,68.13333333333334,0.6333333333333333,6558766c559c040eb8cc60d9a38fd140ecb73b206b931931834bfd1cc0434dcb
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps0.1,1,deterministic,30,3.7158377621947527,96.56666666666666,0.43333333333333335,ca59c93134af5b2dfd3ec261b059c21c9c0a6a05054725b7af14479fe3b234e9
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps0.1,1,stochastic,30,3.1395461260126067,25.433333333333334,0.36666666666666664,ca59c93134af5b2dfd3ec261b059c21c9c0a6a05054725b7af14479fe3b234e9
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps0.1,2,deterministic,30,-1.4827692518926727,71.93333333333334,0.43333333333333335,b976626286fc1c7aac1656d197c8325ed067e632c3413d0b21f62fc993c03e65
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps0.1,2,stochastic,30,5.134567332242312,31.833333333333332,0.3,b976626286fc1c7aac1656d197c8325ed067e632c3413d0b21f62fc993c03e65
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps0.1,3,deterministic,30,2.790086677702311,50.9,0.5,eea3c4211ce724f9a2911dba558392b2c5e630e7d1ecff4aede992e416801dee
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps0.1,3,stochastic,30,4.640436667745923,24.066666666666666,0.36666666666666664,eea3c4211ce724f9a2911dba558392b2c5e630e7d1ecff4aede992e416801dee
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps1,1,deterministic,30,9.106271202501377,98.83333333333333,0.6,4ae2ad69d40caf16938643d3961665fd4609be3ed4375f7b57d42a225cd50967
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps1,1,stochastic,30,6.231214328939815,38.7,0.36666666666666664,4ae2ad69d40caf16938643d3961665fd4609be3ed4375f7b57d42a225cd50967
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps1,2,deterministic,30,3.667281174942356,44.666666666666664,0.3333333333333333,b91317fa2b85a88d1718c2508774f1a8770799ec35d7197072b0596156593ee9
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps1,2,stochastic,30,4.216106419846475,20.933333333333334,0.3,b91317fa2b85a88d1718c2508774f1a8770799ec35d7197072b0596156593ee9
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps1,3,deterministic,30,5.212116699062336,89.83333333333333,0.36666666666666664,edd9c6c45361ea5c92935372ca7dba448663cea97e9d3a69df65fce20ccbded1
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps1,3,stochastic,30,5.170078335396974,34.43333333333333,0.36666666666666664,edd9c6c45361ea5c92935372ca7dba448663cea97e9d3a69df65fce20ccbded1
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps3,1,deterministic,30,0.6896399077565883,29.0,0.3,9d52c5bce27530e228fdbe8aa38652bca6bd72ef2ef41328a2d59294c31cd3cf
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps3,1,stochastic,30,1.174817057241757,12.233333333333333,0.16666666666666666,9d52c5bce27530e228fdbe8aa38652bca6bd72ef2ef41328a2d59294c31cd3cf
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps3,2,deterministic,30,3.100429764613288,44.5,0.5666666666666667,c3f48cab34b45baf8a0a46b9f589fe46f1d7d5747f4d555a90edffbce9404945
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps3,2,stochastic,30,1.559047678633931,24.633333333333333,0.26666666666666666,c3f48cab34b45baf8a0a46b9f589fe46f1d7d5747f4d555a90edffbce9404945
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps3,3,deterministic,30,1.9850476480600456,50.36666666666667,0.3,41a6fd7a1312e6a735cd7ba7f836667e9159a758e76d870b923ed4d7a19f6d0f
runs_effect_v1,SafetyPointBuildingButton1-v0,safeot_eps3,3,stochastic,30,1.5944325010814229,24.066666666666666,0.3,41a6fd7a1312e6a735cd7ba7f836667e9159a758e76d870b923ed4d7a19f6d0f
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda0.1,1,deterministic,30,26.32402301971414,46.7,0.8333333333333334,f7a68552aca76937c8e6d580f156ed68cdbfbb4f9fdfb9ba67574aec03ce2d4e
runs_effect_v1,SafetyPointBuildingGoal1-v0,penalty_lambda0.1,1,stochastic,30,26.218265716566638,61.166666666666664,0.8666666666666667,f7a68552aca76937c8e6d580f156ed68cdbfbb4f9fdfb9ba67574aec03ce2d4e
