env,seed,cycle,anchor,kernel,raw_reward,shaped_reward,penalty,joint,success,any_event,cost_mean,event,excess
DiagReachK2,186,6,6,det_old,8.838208903280975,8.838208903280975,0.0,1.0,1.0,0.0,"[4.8702389150857925, 4.569185189902782]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,6,6,det_shapedKL,8.717899026949453,8.717899026949453,0.0,1.0,1.0,0.0,"[5.121165357530117, 4.001769360154867]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,6,6,det_shapedW2,8.657085063796512,8.657085063796512,0.0,1.0,1.0,0.0,"[5.167123518884182, 3.79357685521245]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,6,6,det_rawKL,9.048851472789103,9.048851472789103,0.0,1.0,1.0,0.0,"[5.573181539773941, 4.977156296372414]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,6,6,det_rawW2,9.059875948027912,9.059875948027912,0.0,1.0,1.0,0.0,"[5.4512083157896996, 4.966647207736969]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,18,8,sample_old,7.670678722104503,6.106014612494482,1.5646641096100211,0.28125,0.578125,0.5625,"[5.193780152127147, 5.270830442197621]","[0.3125, 0.359375]","[0.050942238420248045, 0.060067898283402116]"
DiagReachK2,186,18,8,sample_shapedKL,7.614684323432176,6.333836447099475,1.2808478763327003,0.3125,0.546875,0.484375,"[5.29277265816927, 5.022778037004173]","[0.3125, 0.21875]","[0.059385839849710464, 0.03681279843052228]"
DiagReachK2,186,18,8,sample_shapedW2,7.570377939239552,6.3579875550683935,1.212390384171158,0.34375,0.546875,0.453125,"[5.288908176124096, 4.9197171330451965]","[0.3125, 0.1875]","[0.06109820803006488, 0.031186538438002263]"
DiagReachK2,186,18,8,sample_rawKL,7.831941487097401,5.5029141323801465,2.3290273547172546,0.21875,0.53125,0.609375,"[5.5881254356354475, 5.496802262030542]","[0.375, 0.390625]","[0.08173771326740582, 0.0810571201145649]"
DiagReachK2,186,18,8,sample_rawW2,7.852438445240478,5.358951305076698,2.4934871401637793,0.21875,0.546875,0.625,"[5.668051332235336, 5.5335271446965635]","[0.390625, 0.390625]","[0.08879759411017099, 0.08506878713766734]"
DiagReachK2,186,18,8,det_old,9.121400808032924,9.119713484358364,0.0016873236745595932,0.953125,1.0,0.046875,"[5.42549142986536, 5.825340509414673]","[0.0, 0.046875]","[0.0, 0.0003374653557936362]"
DiagReachK2,186,18,8,det_shapedKL,9.02355998329076,9.02355998329076,0.0,1.0,1.0,0.0,"[5.451132126152515, 5.341589190065861]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,18,8,det_shapedW2,8.971607671108359,8.971607671108359,0.0,1.0,1.0,0.0,"[5.452704571187496, 5.194845221936703]","[0.0, 0.0]","[0.0, 0.0]"
DiagReachK2,186,18,8,det_rawKL,9.217678965469531,8.947763727446727,0.26991523802280426,0.0,1.0,1.0,"[6.06701236218214, 6.236486524343491]","[0.8125, 1.0]","[0.013592778394619632, 0.039414420723915086]"
