suite,method,progress_pct,n_tasks,n_seeds_total,cost_over_budget_q25,cost_over_budget_median,cost_over_budget_q75,normalized_return_q25,normalized_return_median,normalized_return_q75
SafePO,TRPO-Lag,41.0,10,75,1.2611001511418714,1.9357378571428572,2.9897639641301628,0.4752036167406699,0.6075126148449499,0.8381842880655503
SafePO,TRPO-Lag,42.0,10,75,1.26683,1.7228519318303441,2.9013604166666664,0.45957714712625125,0.6048867929080062,0.8494269726609097
SafePO,TRPO-Lag,43.0,10,75,1.2146735714285712,1.6440029751572307,2.803935,0.4324714610501288,0.6176319085209088,0.8759720066626738
SafePO,TRPO-Lag,44.0,10,75,1.2099976682125633,1.7383264190424164,2.69105875,0.4358821327376188,0.6196462824868357,0.8569785224378179
SafePO,TRPO-Lag,45.0,10,75,1.3224821838885752,1.824976649486148,2.568474583333333,0.4599105857121901,0.5894906119105834,0.8512933867631491
SafePO,TRPO-Lag,46.0,10,75,1.4320025573941755,1.8557758234519106,2.3942587500000005,0.4840229930281793,0.5902760072279042,0.8231345633848578
SafePO,TRPO-Lag,47.0,10,75,1.4302232749731472,1.8706035714285714,2.2331016772116774,0.47810550403592567,0.6102953758737244,0.8051265029621748
SafePO,TRPO-Lag,48.0,10,75,1.4079255079205135,1.8661785714285715,2.470839485655132,0.46313944736840784,0.6272448070419603,0.8093611030237453
SafePO,TRPO-Lag,49.0,10,75,1.5369931672335597,1.83423873015873,2.761768099237719,0.47147497767409186,0.6382158418850767,0.7890758125225985
SafePO,TRPO-Lag,50.0,10,75,1.4787735917070817,1.7656596825396824,2.8689349999999996,0.5029645142422952,0.6427481419270211,0.7863136645083996
SafePO,TRPO-Lag,51.0,10,75,1.4407705253628738,1.7324233333333332,2.9031775000000004,0.5343089391980109,0.6565391587343974,0.7924663856275427
SafePO,TRPO-Lag,52.0,10,75,1.1770766666666665,1.6932324684822038,2.836591071428572,0.4840113313669887,0.6691095393749914,0.788812477680612
SafePO,TRPO-Lag,53.0,10,75,1.137710818831252,1.6283153464752955,2.8448432142857145,0.4596583286753821,0.6713754152661242,0.738719087198038
SafePO,TRPO-Lag,54.0,10,75,1.0022505068226955,1.546142632177542,2.764455,0.42754513950428746,0.6789169134442185,0.7725760075555368
SafePO,TRPO-Lag,55.0,10,75,1.0116566710084842,1.520064761904762,2.6397137500000003,0.4243823412765692,0.6882707829290338,0.7686337733879633
SafePO,TRPO-Lag,56.0,10,75,0.9528629137808972,1.5323085714285714,2.6383575000000006,0.4160194462950082,0.6917798308275082,0.7514997548730811
SafePO,TRPO-Lag,57.0,10,75,0.8901352022644646,1.4534142857142855,2.5941225,0.41600558574894214,0.6879691256591979,0.7971653446398428
SafePO,TRPO-Lag,58.0,10,75,0.9040804761904762,1.441297959415376,2.5098037500000006,0.39684598608835564,0.6947405758395436,0.8858313072346102
SafePO,TRPO-Lag,59.0,10,75,0.9089207390703686,1.4348133333333333,2.490855,0.4083399790478901,0.6977508225380658,0.7965503995813281
SafePO,TRPO-Lag,60.0,10,75,0.8426702236975505,1.441857142857143,2.4858937500000002,0.4282359429471657,0.6715865493459656,0.7654810334894917
SafePO,TRPO-Lag,61.0,10,75,0.8149941228154025,1.3963200000000002,2.4532110714285715,0.4613453584721269,0.6339197340341367,0.7659903249904907
SafePO,TRPO-Lag,62.0,10,75,0.8723638174429006,1.4545485714285715,2.4513914285714287,0.4859274673998789,0.678059005727311,0.7777481891367217
SafePO,TRPO-Lag,63.0,10,75,0.8778554355463345,1.5057114285714288,2.3677019642857147,0.4434894294335072,0.6710810880870683,0.8010532324186016
SafePO,TRPO-Lag,64.0,10,75,0.8817480936979742,1.519245714285714,2.2631467857142855,0.3998693414185822,0.6303626934551873,0.813205835850493
SafePO,TRPO-Lag,65.0,10,75,0.853002619793999,1.5249841666666668,2.2124414285714282,0.41848629941266025,0.6181472990793839,0.8181914615082103
SafePO,TRPO-Lag,66.0,10,75,0.842972247974248,1.5606828571428573,2.1881051785714285,0.4076148302365595,0.7021165657811774,0.8344858044182037
SafePO,TRPO-Lag,67.0,10,75,0.7659123388636188,1.4904652380952381,1.9804255246228928,0.409461524029726,0.7335699653405281,0.8648444136031874
SafePO,TRPO-Lag,68.0,10,75,0.7730129664783985,1.4862085714285715,1.9370854870129872,0.41476194310721526,0.7402096853132752,0.88738719949801
SafePO,TRPO-Lag,69.0,10,75,0.8055377015048444,1.4175004347826088,1.9392712499999998,0.42011141529382967,0.7491319085859809,0.8679156340245289
SafePO,TRPO-Lag,70.0,10,75,0.8017803778599346,1.3229228571428573,1.9493867091836736,0.3878453298129869,0.7515921423563128,0.8960593515653873
SafePO,TRPO-Lag,71.0,10,75,0.8045953873170524,1.292754761904762,1.926984937888199,0.36971763460950524,0.7546658491904177,0.8645290390796307
SafePO,TRPO-Lag,72.0,10,75,0.8151108292907843,1.2980363498126524,1.8649991071428569,0.3615608107205695,0.6824572283999413,0.8740407983649789
SafePO,TRPO-Lag,73.0,10,75,0.7912812800021394,1.2910720274342633,1.8610497402597401,0.3645459201013546,0.6604887200438911,0.8786110744029267
SafePO,TRPO-Lag,74.0,10,75,0.841222632129775,1.2551161427236885,1.7799951785714287,0.3951658573144239,0.7096961248588025,0.8807571090189653
SafePO,TRPO-Lag,75.0,10,75,0.8258182692611928,1.253355990428244,1.8074228486394557,0.41713669142523846,0.725475167849249,0.8925073458304744
SafePO,TRPO-Lag,76.0,10,75,0.8038681120885882,1.2368923388346644,1.8620539285714286,0.39297587898299313,0.7216774390910659,0.9070779840106077
SafePO,TRPO-Lag,77.0,10,75,0.8131047938961802,1.2569285714285714,1.9247846428571427,0.383237962559123,0.73383139191429,0.9172313396846512
SafePO,TRPO-Lag,78.0,10,75,0.8006922703866693,1.345671156462585,1.8543382142857143,0.39823287421432235,0.7581744586424701,0.9238801810794814
SafePO,TRPO-Lag,79.0,10,75,0.8661439805610734,1.3775914285714284,1.7168782142857144,0.3896635169344379,0.7746826657300586,0.9335629340262717
